Date,NEI,NEI-PTER
1994-01-01,9.901466667,11.04746667
1994-04-01,9.492433333,10.7032
1994-07-01,9.3029,10.43023333
1994-10-01,9.057333333,10.1911
1995-01-01,8.953833333,10.0801
1995-04-01,9.046233333,10.1662
1995-07-01,9.035,10.17673333
1995-10-01,9.033433333,10.15376667
1996-01-01,8.976433333,10.0506
1996-04-01,8.873566667,9.955166667
1996-07-01,8.713333333,9.808866667
1996-10-01,8.719233333,9.774933333
1997-01-01,8.662466667,9.698633333
1997-04-01,8.479133333,9.489666667
1997-07-01,8.320733333,9.316966667
1997-10-01,8.246033333,9.209866667
1998-01-01,8.1553,9.1074
1998-04-01,8.0354,8.944366667
1998-07-01,8.109766667,8.994866667
1998-10-01,8.009566667,8.832733333
1999-01-01,7.954433333,8.7949
1999-04-01,8.0139,8.8295
1999-07-01,7.906666667,8.713266667
1999-10-01,7.768933333,8.536433333
2000-01-01,7.755066667,8.508966667
2000-04-01,7.747133333,8.502466667
2000-07-01,7.7236,8.486566667
2000-10-01,7.7136,8.4775
2001-01-01,7.847166667,8.613533333
2001-04-01,8.134833333,8.951
2001-07-01,8.373866667,9.252
2001-10-01,8.8183,9.8185
2002-01-01,8.9284,9.879833333
2002-04-01,8.899433333,9.8481
2002-07-01,8.8296,9.825
2002-10-01,8.83,9.8063
2003-01-01,8.932933333,9.993433333
2003-04-01,9.0332,10.08956667
2003-07-01,9.033233333,10.1012
2003-10-01,8.909866667,9.977233333
2004-01-01,8.808066667,9.854933333
2004-04-01,8.737066667,9.7532
2004-07-01,8.685766667,9.6977
2004-10-01,8.665766667,9.680066667
2005-01-01,8.6068,9.572933333
2005-04-01,8.494666667,9.4534
2005-07-01,8.394366667,9.402166667
2005-10-01,8.4509,9.3674
2006-01-01,8.290966667,9.189133333
2006-04-01,8.234633333,9.1257
2006-07-01,8.203233333,9.134633333
2006-10-01,8.147133333,9.063566667
2007-01-01,8.102833333,9.019666667
2007-04-01,8.229433333,9.164366667
2007-07-01,8.244566667,9.230566667
2007-10-01,8.282766667,9.240666667
2008-01-01,8.4169,9.4621
2008-04-01,8.642933333,9.778333333
2008-07-01,9.040066667,10.3342
2008-10-01,9.544533333,11.1007
2009-01-01,10.45273333,12.29656667
2009-04-01,10.90023333,12.80596667
2009-07-01,10.86513333,12.7678
2009-10-01,10.95413333,12.85626667
2010-01-01,10.8566,12.73373333
2010-04-01,10.5929,12.4604
2010-07-01,10.6271,12.48433333
2010-10-01,10.65356667,12.50506667
2011-01-01,10.42533333,12.21806667
2011-04-01,10.46553333,12.26213333
2011-07-01,10.44703333,12.24896667
2011-10-01,10.27003333,12.0182
2012-01-01,10.0656,11.748
2012-04-01,10.0492,11.71376667
2012-07-01,10.03656667,11.7002
2012-10-01,9.918533333,11.58246667
2013-01-01,9.9466,11.58176667
2013-04-01,9.845566667,11.47796667
2013-07-01,9.608366667,11.1974
2013-10-01,9.467466667,11.07356667
2014-01-01,9.329433333,10.81583333
2014-04-01,9.169133333,10.66143333
2014-07-01,9.159833333,10.5934
2014-10-01,8.961666667,10.37273333
2015-01-01,8.8909,10.23236667
2015-04-01,8.796033333,10.0962
2015-07-01,8.670733333,9.898533333
2015-10-01,8.5873,9.802133333
2016-01-01,8.469033333,9.6588
2016-04-01,8.451833333,9.643033333
2016-07-01,8.455233333,9.615066667
2016-10-01,8.404966667,9.558366667
2017-01-01,8.2613,9.368433333
2017-04-01,8.112,9.132566667
2017-07-01,8.0347,9.047566667
2017-10-01,7.928433333,8.902633333
2018-01-01,7.880866667,8.8694
2018-04-01,7.816,8.749133333
