PLAYER,TEAM,SALARY
Antonius Cleveland,ATL,92160
DeAndre Liggins,ATL,26773
DeAndre' Bembry,ATL,1567200
Dennis Schroder,ATL,15500000
Dewayne Dedmon,ATL,6.00E+06
Diamond Stone,ATL,1312611
Ersan Ilyasova,ATL,6.00E+06
Isaiah Taylor,ATL,1312611
Jamal Crawford,ATL,10942762
Jaylen Morris,ATL,92160
Jeremy Evans,ATL,50000
John Collins,ATL,1936920
Kent Bazemore,ATL,16910113
Malcolm Delaney,ATL,2500000
Marco Belinelli,ATL,6306060
Mike Dunleavy,ATL,1662500
Mike Muscala,ATL,5.00E+06
Miles Plumlee,ATL,12500000
Nicolas Brussino,ATL,1312611
Okaro White,ATL,1312611
Quinn Cook,ATL,1.00E+05
Richard Jefferson,ATL,2500000
Sheldon Mac,ATL,1312611
Taurean Waller-Prince,ATL,2422560
Tyler Cavanaugh,ATL,679919
Tyler Dorsey,ATL,815615
Abdel Nader,BOS,1167333
Al Horford,BOS,27734405
Aron Baynes,BOS,4328000
Daniel Theis,BOS,815615
Demetrius Jackson,BOS,92858
Gordon Hayward,BOS,29727900
Greg Monroe,BOS,5.00E+06
Guerschon Yabusele,BOS,2247480
Jarell Eddie,BOS,83129
Jaylen Brown,BOS,4956480
Jayson Tatum,BOS,5645400
Kyrie Irving,BOS,18868625
Marcus Morris,BOS,5.00E+06
Marcus Smart,BOS,4538020
Semi Ojeleye,BOS,1291892
Shane Larkin,BOS,1524305
Terry Rozier,BOS,1988520
Allen Crabbe,BRK,19332500
Caris LeVert,BRK,1632480
D'Angelo Russell,BRK,5562360
Dante Cunningham,BRK,2300000
DeMarre Carroll,BRK,14800000
Deron Williams,BRK,5500000
Isaiah Whitehead,BRK,1312611
Jahlil Okafor,BRK,4995120
Jarrett Allen,BRK,1713720
Jeremy Lin,BRK,1.20E+07
Joe Harris,BRK,1524305
Nik Stauskas,BRK,3807146
Quincy Acy,BRK,1709538
Rondae Hollis-Jefferson,BRK,1471382
Sean Kilpatrick,BRK,1524305
Spencer Dinwiddie,BRK,1524305
Timofey Mozgov,BRK,15280000
Yakuba Ouattara,BRK,50000
Bobby Portis,CHI,1516320
Cameron Payne,CHI,2203440
Cristiano Felicio,CHI,7843500
David Nwaba,CHI,1312611
Denzel Valentine,CHI,2186400
Diamond Stone,CHI,50000
Dwyane Wade,CHI,15550000
Isaiah Canaan,CHI,2.00E+05
Jarell Eddie,CHI,83129
Jerian Grant,CHI,1713840
Justin Holiday,CHI,4615385
Kay Felder,CHI,1312611
Kris Dunn,CHI,4046760
Lauri Markkanen,CHI,3821640
Noah Vonleh,CHI,3505233
Omer Asik,CHI,10595505
Paul Zipser,CHI,1312611
Quincy Pondexter,CHI,3853931
Rajon Rondo,CHI,3.00E+06
Robin Lopez,CHI,13788500
Tony Allen,CHI,2116955
Willie Reed,CHI,1577230
Zach LaVine,CHI,3202217
Cody Zeller,CHO,12584270
Dwayne Bacon,CHO,815615
Dwight Howard,CHO,23500000
Frank Kaminsky,CHO,2847600
Jeremy Lamb,CHO,7.00E+06
Julyan Stone,CHO,1524305
Kemba Walker,CHO,1.20E+07
Malik Monk,CHO,2904480
Marvin Williams,CHO,13168750
Michael Carter-Williams,CHO,2700000
Michael Kidd-Gilchrist,CHO,1.30E+07
Nicolas Batum,CHO,22434783
Treveon Graham,CHO,1312611
Willy Hernangomez,CHO,1435750
Ante Zizic,CLE,1645200
Cedi Osman,CLE,2642857
George Hill,CLE,2.00E+07
J.R. Smith,CLE,13760000
Jeff Green,CLE,2116955
Jordan Clarkson,CLE,11562500
Jose Calderon,CLE,2328652
Kevin Love,CLE,22642350
Kyle Korver,CLE,7.00E+06
Larry Nance,CLE,1471382
LeBron James,CLE,33285709
Marcus Thornton,CLE,46080
Rodney Hood,CLE,2386864
Tristan Thompson,CLE,16400000
Antonius Cleveland,DAL,50000
Dennis Smith,DAL,3218280
Dirk Nowitzki,DAL,5.00E+06
Dorian Finney-Smith,DAL,1312611
Doug McDermott,DAL,3294994
Dwight Powell,DAL,9003125
Gal Mekel,DAL,315760
Gian Clavell,DAL,50000
Harrison Barnes,DAL,23112004
J.J. Barea,DAL,3903900
Jameel Warney,DAL,46080
Jeff Withey,DAL,1577320
Josh McRoberts,DAL,6021175
Kyle Collinsworth,DAL,92160
Maxi Kleber,DAL,815615
Nerlens Noel,DAL,4187599
Salah Mejri,DAL,1471382
Scotty Hopson,DAL,74159
Seth Curry,DAL,3028410
Wesley Matthews,DAL,17884176
Yogi Ferrell,DAL,1312611
Darrell Arthur,DEN,7464912
Devin Harris,DEN,4402546
Gary Harris,DEN,2550055
Jamal Murray,DEN,3355320
Jameer Nelson,DEN,4736050
Juan Hernangomez,DEN,2076840
Kenneth Faried,DEN,12921348
Malik Beasley,DEN,1700640
Mason Plumlee,DEN,14041096
Nikola Jokic,DEN,1471382
Paul Millsap,DEN,31269231
Richard Jefferson,DEN,2328652
Trey Lyles,DEN,2441400
Tyler Lydon,DEN,1579440
Will Barton,DEN,3533333
Wilson Chandler,DEN,12016854
Aaron Gray,DET,452059
Andre Drummond,DET,23775506
Anthony Tolliver,DET,3290000
Beno Udrih,DET,25000
Blake Griffin,DET,29512900
Dwight Buycks,DET,748160
Eric Moreland,DET,1739333
Henry Ellenson,DET,1780800
Ish Smith,DET,6.00E+06
Jameer Nelson,DET,2262871
James Ennis,DET,3028410
Jon Leuer,DET,10497319
Josh Smith,DET,5400000
Langston Galloway,DET,6666667
Luis Montero,DET,50000
Luke Kennard,DET,2759280
Michael Gbinije,DET,5.00E+05
Reggie Bullock,DET,2500000
Reggie Jackson,DET,1.60E+07
Stanley Johnson,DET,3097800
Andre Iguodala,GSW,14814815
Damian Jones,GSW,1312611
David West,GSW,2328652
Draymond Green,GSW,16400000
Jason Thompson,GSW,945126
JaVale McGee,GSW,2116955
