State/Territory,Total,Land,Water
Alabama,52420.07,50645.33,1774.74
Alaska,665384.04,570640.95,94743.10
American Samoa,581.05,76.46,504.60
Arizona,113990.30,113594.08,396.22
Arkansas,53178.55,52035.48,1143.07
California,163696.32,155779.22,7915.52
Colorado,104093.67,103641.89,451.78
Connecticut,5543.41,4842.36,701.06
Delaware,2488.72,1948.54,540.18
District of Columbia,68.34,61.05,7.29
Florida,65757.70,53624.76,12132.94
Georgia,59425.15,57513.49,1911.66
Guam,570.62,209.80,360.82
Hawaii,10931.72,6422.63,4509.09
Idaho,83568.95,82643.12,925.83
Illinois,57913.55,55518.93,2394.62
Indiana,36419.55,35826.11,593.44
Iowa,56272.81,55857.13,415.68
Kansas,82278.36,81758.72,519.64
Kentucky,40407.80,39486.34,921.46
Louisiana,52378.13,43203.90,9174.23
Maine,35379.74,30842.92,4536.82
Maryland,12405.93,9707.24,2698.69
Massachusetts,10554.39,7800.06,2754.33
Michigan,96713.51,56538.90,40174.61
Minnesota,86935.83,79626.74,7309.09
Mississippi,48431.78,46923.27,1508.51
Missouri,69706.99,68741.52,965.47
Montana,147039.71,145545.80,1493.91
Nebraska,77347.81,76824.17,523.64
Nevada,110571.82,109781.18,790.65
New Hampshire,9349.16,8952.65,396.51
New Jersey,8722.58,7354.22,1368.36
New Mexico,121590.30,121298.15,292.15
New York,54554.98,47126.40,7428.58
North Carolina,53819.16,48617.91,5201.25
North Dakota,70698.32,69000.80,1697.52
Northern Mariana Islands,1975.57,182.33,1793.24
Ohio,44825.58,40860.69,3964.89
Oklahoma,69898.87,68594.92,1303.95
Oregon,98378.54,95988.01,2390.53
Pennsylvania,46054.35,44742.70,1311.64
Puerto Rico,5324.84,3423.78,1901.07
Rhode Island,1544.89,1033.81,511.07
South Carolina,32020.49,30060.70,1959.79
South Dakota,77115.68,75811.00,1304.68
Tennessee,42144.25,41234.90,909.36
Texas,268596.46,261231.71,7364.75
United States Virgin Islands,732.93,134.32,598.61
Utah,84896.88,82169.62,2727.26
Vermont,9616.36,9216.66,399.71
Virginia,42774.93,39490.09,3284.84
Washington,71297.95,66455.52,4842.43
West Virginia,24230.04,24038.21,191.83
Wisconsin,65496.38,54157.80,11338.57
Wyoming,97813.01,97093.14,719.87
